time,data
2017-05-19 09:22:03,5.0577
2017-05-19 09:22:04,5.0573
2017-05-19 09:22:09,5.0576
2017-05-19 09:22:10,5.0574
2017-05-19 09:22:43,5.0573
2017-05-19 09:22:44,5.05705
2017-05-19 09:22:45,5.057
2017-05-19 09:22:47,5.0571
2017-05-19 09:22:49,5.057
2017-05-19 09:22:50,5.0569
2017-05-19 09:22:51,5.057
2017-05-19 09:22:52,5.0569
2017-05-19 09:22:53,5.0569
2017-05-19 09:22:56,5.05695
2017-05-19 09:22:59,5.0569
2017-05-19 09:23:02,5.05685
2017-05-19 09:23:03,5.0567
2017-05-19 09:23:04,5.0567
2017-05-19 09:23:06,5.05665
2017-05-19 09:23:07,5.0566
2017-05-19 09:23:08,5.05665
2017-05-19 09:23:11,5.0566
2017-05-19 09:23:12,5.0565
2017-05-19 09:23:13,5.0567
2017-05-19 09:23:15,5.05665
2017-05-19 09:23:16,5.05665
2017-05-19 09:23:20,5.0566
2017-05-19 09:23:22,5.0564
2017-05-19 09:23:23,5.0562
2017-05-19 09:23:24,5.0563
2017-05-19 09:23:25,5.05625
2017-05-19 09:23:27,5.0562
2017-05-19 09:23:31,5.0563
2017-05-19 09:23:33,5.0566
2017-05-19 09:23:34,5.0567
2017-05-19 09:23:35,5.05665
2017-05-19 09:23:36,5.0567
2017-05-19 09:23:37,5.0568
2017-05-19 09:23:38,5.05675
2017-05-19 09:23:39,5.057
2017-05-19 09:23:40,5.05685
2017-05-19 09:23:41,5.0565
2017-05-19 09:23:42,5.05655
2017-05-19 09:23:43,5.0565
2017-05-19 09:23:44,5.05645
2017-05-19 09:23:45,5.0566
2017-05-19 09:23:47,5.0565
2017-05-19 09:23:48,5.05655
2017-05-19 09:23:49,5.0564
2017-05-19 09:23:50,5.0562
2017-05-19 09:23:51,5.056
2017-05-19 09:23:52,5.0563
2017-05-19 09:23:53,5.0564
2017-05-19 09:23:54,5.05625
2017-05-19 09:23:55,5.0563
2017-05-19 09:23:57,5.05625
2017-05-19 09:23:59,5.0563
2017-05-19 09:24:00,5.05635
2017-05-19 09:24:01,5.0563
2017-05-19 09:24:02,5.05615
2017-05-19 09:24:03,5.056
2017-05-19 09:24:04,5.05595
2017-05-19 09:24:06,5.05595
2017-05-19 09:24:07,5.0559
2017-05-19 09:24:08,5.05625
2017-05-19 09:24:09,5.0562
2017-05-19 09:24:13,5.05625
2017-05-19 09:24:14,5.05625
2017-05-19 09:24:15,5.0563
2017-05-19 09:24:17,5.0562
2017-05-19 09:24:18,5.05635
2017-05-19 09:24:22,5.0564
2017-05-19 09:24:23,5.05635
2017-05-19 09:24:24,5.0566
2017-05-19 09:24:28,5.0567
2017-05-19 09:24:29,5.05665
2017-05-19 09:24:31,5.0566
2017-05-19 09:24:32,5.0563
2017-05-19 09:24:36,5.0564
2017-05-19 09:24:37,5.0563
2017-05-19 09:24:40,5.05635
2017-05-19 09:24:42,5.0563
2017-05-19 09:24:45,5.05635
2017-05-19 09:24:46,5.056
2017-05-19 09:24:47,5.05615
2017-05-19 09:24:48,5.0563
2017-05-19 09:24:49,5.05625
2017-05-19 09:24:52,5.0563
2017-05-19 09:24:53,5.05645
2017-05-19 09:24:55,5.0565
2017-05-19 09:24:57,5.0566
2017-05-19 09:24:58,5.0565
2017-05-19 09:25:01,5.0564
2017-05-19 09:25:08,5.0564
2017-05-19 09:25:10,5.0563
2017-05-19 09:25:17,5.0564
2017-05-19 09:25:18,5.0561
2017-05-19 09:25:19,5.0559
2017-05-19 09:25:20,5.05585
2017-05-19 09:25:21,5.056
2017-05-19 09:25:22,5.0562
2017-05-19 09:25:23,5.0561
2017-05-19 09:25:28,5.0563
2017-05-19 09:25:29,5.0562
2017-05-19 09:25:30,5.0561
2017-05-19 09:25:31,5.0564
2017-05-19 09:25:32,5.0563
2017-05-19 09:25:33,5.05625
2017-05-19 09:25:34,5.0563
2017-05-19 09:25:40,5.05625
2017-05-19 09:25:41,5.0558
2017-05-19 09:25:42,5.056
2017-05-19 09:25:44,5.05605
2017-05-19 09:25:45,5.056
2017-05-19 09:25:46,5.056
2017-05-19 09:25:47,5.0561
2017-05-19 09:25:48,5.0561
2017-05-19 09:26:00,5.0562
2017-05-19 09:26:01,5.0563
2017-05-19 09:26:02,5.0562
2017-05-19 09:26:03,5.05615
2017-05-19 09:26:04,5.05615
2017-05-19 09:26:05,5.0562
2017-05-19 09:26:06,5.0562
2017-05-19 09:26:13,5.05625
2017-05-19 09:26:15,5.0562
